deposit_year,deposit_loc,deposit_category,weight
1995,En dépôt depuis le 09/11/1995 : Ambassade de France (Erevan),dépôt non culturel,0.0017094017094017094
1990,En dépôt depuis le 18/01/1990 : Consulat général de France (Londres),dépôt non culturel,0.0012195121951219512
2002,En dépôt depuis le 16/07/2002 : Ambassade de France (Bakou),dépôt non culturel,0.000591016548463357
1987,En dépôt depuis le 13/01/1987 : Délégation générale pour l'armement (Paris),dépôt non culturel,0.001579778830963665
2004,En dépôt depuis le 12/01/2004 : Mairie de Tours,dépôt non culturel,0.0011135857461024498
1986,En dépôt depuis le 07/01/1986 : Cour d'appel (Paris),dépôt non culturel,0.0020833333333333333
2001,En dépôt depuis le 29/01/2001 : Commission des participations et des transferts (Paris),dépôt culturel,0.0005577244841048522
1992,En dépôt depuis le 13/02/1992 : Musée des Beaux-Arts de Quimper,dépôt culturel,0.001142857142857143
2010,En dépôt depuis le 07/07/2010 : Ambassade de France (Kuala Lumpur),dépôt non culturel,0.0008084074373484236
2002,En dépôt depuis le 30/09/2002 : Ambassade de France (Lusaka),dépôt non culturel,0.000591016548463357
1992,En dépôt depuis le 15/01/1992 : Centre national du livre (Paris),dépôt non culturel,0.001142857142857143
2003,En dépôt depuis le 19/06/2003 : Ambassade de France (Hanoi),dépôt non culturel,0.0007861635220125787
1998,En dépôt depuis le 06/04/1998 : Mairie de Noyers,dépôt non culturel,0.0007168458781362007
2015,En dépôt depuis le 20/03/2015 : Préfecture des Hauts-de-Seine (Nanterre),dépôt non culturel,0.0008084074373484236
1994,En dépôt depuis le 28/02/1994 : Préfecture de la Seine-Saint-Denis (Bobigny),dépôt non culturel,0.0014992503748125937
,En dépôt : Direction nationale d'enquêtes fiscales (Paris),dépôt non culturel,
2009,"En dépôt depuis le 28/09/2009 : Ministère de l'intérieur, de l'outre-mer et des collectivités territoriales (Paris)",dépôt non culturel,0.0010741138560687433
2006,En dépôt depuis le 13/11/2006 : Ecole nationale d'administration (Strasbourg),dépôt non culturel,0.001142857142857143
1986,En dépôt depuis 1986 : Ambassade de France (Moscou),dépôt non culturel,0.0020833333333333333
1994,En dépôt depuis le 08/02/1994 : Musée Pierre Noël/ Musée de la vie dans les Hautes-Vosges (Saint-Dié),dépôt culturel,0.0014992503748125937
,En dépôt : Ambassade de France (New Delhi),dépôt non culturel,
2003,En dépôt depuis le 06/06/2003 : Ambassade de France (Kingston),dépôt non culturel,0.0007861635220125787
2003,En dépôt depuis le 26/09/2003 : Représentation permanente de la France auprès de l'OCDE (Paris),dépôt non culturel,0.0007861635220125787
1994,En dépôt depuis le 17/05/1994 : Centre national de la recherche scientifique (Paris),dépôt non culturel,0.0014992503748125937
2006,En dépôt depuis le 27/11/2006 : Ambassade de France (Santiago du Chili),dépôt non culturel,0.001142857142857143
2016,En dépôt depuis le 18/04/2016 : Musée Régional d'Art Contemporain Languedoc-Roussillon (Sérignan),dépôt culturel,0.0008084074373484236
1986,En dépôt depuis le 15/04/1986 : Direction des programmes audiovisuels/ Centre national de la cinématographie (Paris),dépôt non culturel,0.0020833333333333333
1989,En dépôt depuis le 15/06/1989 : Ambassade de France (Port-Louis),dépôt non culturel,0.0010050251256281408
1989,En dépôt depuis le 27/11/1989 : Ambassade de France (Brasilia),dépôt non culturel,0.0010050251256281408
2015,En dépôt depuis le 16/11/2015 : Autorité de la Concurrence (Paris),dépôt non culturel,0.0008084074373484236
1989,En dépôt depuis le 27/11/1989 : Ambassade de France (Brasilia),dépôt non culturel,0.0010050251256281408
2004,En dépôt depuis le 29/09/2004 : Premier Ministre / Secrétariat général du gouvernement (Paris),dépôt non culturel,0.0011135857461024498
2013,En dépôt depuis le 12/07/2013 : Premier Ministre / Secrétariat général du gouvernement (Paris),dépôt non culturel,0.0008084074373484236
